Pricing Table,,,,,,,,
package,Priority,,,,,,,
carrier,AA,,,,,,,
subcode,CUU,,,,,,,
result_type,UNITLESS_PTABLE_TYPE,,,,,,,
name,Priority Price Test_t,,,,,,,
comment,Updating stale,,,,,,,
attribute_group,TS,,,,,,,
Pricelines,,,,,,,,
arm,Comment,Segment matches required,Travel dates (Start),Travel dates (End),Loc1,Loc2,Sector direction,Result
Control,Control - no change,,08/06/2026,12/05/2026,P:SPS,P:CID,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SPS,P:MHT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SRQ,P:EVV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:STS,P:LCH,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:STS,P:PHX,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SUN,P:EVV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:SWO,P:HPN,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TLH,P:FAR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TPA,P:ACY,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TRI,P:ICT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TRI,P:LSE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:TVC,P:SDF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:VRB,P:YVR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:XNA,P:PHF,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:YHZ,P:SAT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:YQB,P:AGS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:YYC,P:TXK,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:YYZ,P:AEX,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:YYZ,P:ILM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ABE,P:MQT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ABQ,P:BUR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ABQ,P:FLG,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AGS,P:ROW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ART,P:JAC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ART,P:PBI,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:ATW,P:BIL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:AUS,P:EVV,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BDL,P:YYZ,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BGR,P:MGM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BHM,P:MSO,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BHM,P:PDX,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BIS,P:IAD,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BIS,P:MTJ,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BMI,P:FAR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BNA,P:SYR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BOI,P:ROA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BOS,P:GEG,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BOS,P:PIA,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BPT,P:EWR,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BTR,P:PWM,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BTR,P:VPS,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BWI,P:GGG,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BZN,P:ABE,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:BZN,P:ATW,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CAE,P:ATL,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CAE,P:JAC,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CAE,P:MHT,From Loc1 to Loc2,1.0
Control,Control - no change,,08/06/2026,12/05/2026,P:CHO,P:AVL,From Loc1 to Loc2,1.0
